Year[e],Country,Champion,Country,Runner-up,Score in the final[14]
1952,AUS,Ken McGregor (1/1),AUS,Frank Sedgman,"7–5, 12–10, 2–6, 6–2"
1953,AUS,Ken Rosewall (1/4),AUS,Mervyn Rose,"6–0, 6–3, 6–4"
1954,AUS,Mervyn Rose (1/1),AUS,Rex Hartwig,"6–2, 0–6, 6–4, 6–2"
1955,AUS,Ken Rosewall (2/4),AUS,Lew Hoad,"9–7, 6–4, 6–4"
1956,AUS,Lew Hoad (1/1),AUS,Ken Rosewall,"6–4, 3–6, 6–4, 7–5"
1957,AUS,Ashley Cooper (1/2),AUS,Neale Fraser,"6–3, 9–11, 6–4, 6–2"
1958,AUS,Ashley Cooper (2/2),AUS,Mal Anderson,"7–5, 6–3, 6–4"
1959,USA[g],Alex Olmedo (1/1),AUS,Neale Fraser,"6–1, 6–2, 3–6, 6–3"
1960,AUS,Rod Laver (1/3),AUS,Neale Fraser,"5–7, 3–6, 6–3, 8–6, 8–6"
1961,AUS,Roy Emerson (1/6),AUS,Rod Laver,"1–6, 6–3, 7–5, 6–4"
1962,AUS,Rod Laver (2/3),AUS,Roy Emerson,"8–6, 0–6, 6–4, 6–4"
1963,AUS,Roy Emerson (2/6),AUS,Ken Fletcher,"6–3, 6–3, 6–1"
1964,AUS,Roy Emerson (3/6),AUS,Fred Stolle,"6–3, 6–4, 6–2"
1965,AUS,Roy Emerson (4/6),AUS,Fred Stolle,"7–9, 2–6, 6–4, 7–5, 6–1"
1966,AUS,Roy Emerson (5/6),USA,Arthur Ashe,"6–4, 6–8, 6–2, 6–3"
1967,AUS,Roy Emerson (6/6),USA,Arthur Ashe,"6–4, 6–1, 6–4"
1968,AUS,Bill Bowrey (1/1),ESP,Juan Gisbert Sr.,"7–5, 2–6, 9–7, 6–4"
